material_absorber,absorber_band_gap_eV,phase,heat_of_formation_eV_per_atom,source_doi,source_paper
Cs2InGaI6 (cubic),0.2606,cubic,-0.917094,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InInI6 (cubic),0.0376,cubic,-0.938452,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InSbI6 (cubic),0.1914,cubic,-0.89443,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlAlI6 (cubic),1.3469,cubic,-0.998564,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlAsI6 (cubic),0.4876,cubic,-0.845799,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlBiI6 (cubic),0.2898,cubic,-0.955895,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlGaI6 (cubic),0.4918,cubic,-0.906398,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlInI6 (cubic),0.7898,cubic,-0.960016,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlSbI6 (cubic),0.3599,cubic,-0.913763,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgAsI6 (cubic),0.204,cubic,-0.671115,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgBiI6 (cubic),0.6179,cubic,-0.771763,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgSbI6 (cubic),0.2952,cubic,-0.733345,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2CuBiI6 (cubic),0.2537,cubic,-0.720398,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2InAlI6 (cubic),0.8048,cubic,-0.87026,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2InAsI6 (cubic),0.15,cubic,-0.732296,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2InBiI6 (cubic),0.3548,cubic,-0.823298,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2InGaI6 (cubic),0.1346,cubic,-0.819023,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2InSbI6 (cubic),0.2273,cubic,-0.787048,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2TlAlI6 (cubic),1.3485,cubic,-0.897111,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2TlAsI6 (cubic),0.3625,cubic,-0.742165,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
